timestamp,t,lat,lon,fitness_costo,fitness_sismico,fitness_ciudad,fitness_mejor,fitness_promedio,fitness_peor,fitness_std
20260810_204002,0.112571,-34.730280,-58.153112,0.9438,0.8222,0.9992,0.8588,0.6829,0.2797,0.1879
20260810_204115,0.112332,-34.731346,-58.151221,0.9469,0.8224,0.9999,0.8724,0.7281,0.2230,0.1744
20260810_204127,0.108738,-34.747413,-58.122707,0.9270,0.8266,0.9998,0.8612,0.7334,0.2230,0.1719
20260811_184704,0.106937,-34.755464,-58.108419,1.0000,0.8285,0.9782,0.8500,0.7095,0.2023,0.2027
20260812_190004,-34.741348,-58.091667,0.8826,0.8285,0.9869,0.9971,0.8593,0.8269,0.6431,0.0433
20260812_190545,-33.894864,-58.845913,0.9861,0.7268,0.9122,1.0000,0.6596,0.6365,0.5356,0.0270
20260812_191335,-34.791078,-58.154995,0.9589,0.8275,0.9841,0.9867,0.9062,0.8683,0.6646,0.0619
20260812_191419,0.431648,-34.748080,-58.168288,0.9425,0.8225,0.9993,0.8796,0.8073,0.2706,0.1671
20260812_191514,-33.947119,-59.227361,1.0000,0.7249,0.9999,0.9978,0.9058,0.8736,0.6566,0.0485
20260812_194837,-34.479904,-58.583644,1.0000,0.7433,0.9849,0.9706,0.8363,0.8039,0.4220,0.0717
